Company,Level,FileName,FilePath,DocumentType,PublicationYear,DateEvidence,IncludedByYearRule,ExclusionReason,URL
Google,Level_2_Education,foe_part1.pdf,Excluded_Documents_Low_Relevance/Level_2_Education/Google/foe_part1.pdf,Document,2022,finder_comment,No,Low relevance (manual exclusion folder),https://services.google.com/fh/files/misc/foe_part1.pdf
Google,Level_2_Education,foe_part2.pdf,Excluded_Documents_Low_Relevance/Level_2_Education/Google/foe_part2.pdf,Document,2022,finder_comment,No,Low relevance (manual exclusion folder),https://services.google.com/fh/files/misc/foe_part2.pdf
Google,Level_2_Education,foe_part3.pdf,Excluded_Documents_Low_Relevance/Level_2_Education/Google/foe_part3.pdf,Document,2022,finder_comment,No,Low relevance (manual exclusion folder),https://services.google.com/fh/files/misc/foe_part3.pdf
Google,Level_2_Education,Case Studies: Upper Dublin School District - Google for Education.pdf,Excluded_Documents_Low_Relevance/Level_2_Education/Google/Case Studies: Upper Dublin School District - Google for Education.pdf,Document,,missing,No,Low relevance (manual exclusion folder),https://edu.google.com/intl/ALL_dk/resources/customer-stories/upper-dublin-school-district/
Google,Level_2_Education,Google highlights efforts to support AI education in the U.S..pdf,Excluded_Documents_Low_Relevance/Level_2_Education/Google/Google highlights efforts to support AI education in the U.S..pdf,Blog Post,2025,finder_comment,No,Low relevance (manual exclusion folder),https://blog.google/products-and-platforms/products/education/ai-education-efforts/
Google,Level_2_Education,Google AI and Learning Forum: Ben Gomes speech transcript.pdf,Excluded_Documents_Low_Relevance/Level_2_Education/Google/Google AI and Learning Forum: Ben Gomes speech transcript.pdf,Transcript,,missing,No,Low relevance (manual exclusion folder),
Google,Level_2_Education,Google_YouTube_Transcript_AI_Education.pdf,Excluded_Documents_Low_Relevance/Level_2_Education/Google/Google_YouTube_Transcript_AI_Education.pdf,Transcript,2026,finder_comment,No,Low relevance (manual exclusion folder),https://www.youtube.com/watch?v=QqShSAREVg0
Google,Level_2_Education,Case Studies: Mcguffey Middle School - Google for Education.pdf,Excluded_Documents_Low_Relevance/Level_2_Education/Google/Case Studies: Mcguffey Middle School - Google for Education.pdf,Document,,missing,No,Low relevance (manual exclusion folder),https://edu.google.com/intl/ALL_dk/resources/customer-stories/mcguffey-middle-school/
Google,Level_2_Education,ai_adoption_framework_whitepaper.pdf,Excluded_Documents_Low_Relevance/Level_2_Education/Google/ai_adoption_framework_whitepaper.pdf,White Paper,2020,finder_comment,No,Low relevance (manual exclusion folder),https://cloud.google.com/resources/cloud-ai-adoption-framework-whitepaper?hl=da
Microsoft,Level_2_Education,EN-AU-CNTNT-Whitepaper-DigitalTransformation-MSFTvisionforAIintheenterprise.pdf,Excluded_Documents_Low_Relevance/Level_2_Education/Microsoft/EN-AU-CNTNT-Whitepaper-DigitalTransformation-MSFTvisionforAIintheenterprise.pdf,White Paper,2018,finder_comment,No,Low relevance (manual exclusion folder),https://info.microsoft.com/rs/157-GQE-382/images/EN-AU-CNTNT-Whitepaper-DigitalTransformation-MSFTvisionforAIintheenterprise.pdf
Microsoft,Level_2_Education,EN-US-CNTNT-Whitepaper-Education-Class-of-2030-report.pdf,Excluded_Documents_Low_Relevance/Level_2_Education/Microsoft/EN-US-CNTNT-Whitepaper-Education-Class-of-2030-report.pdf,White Paper,2019,finder_comment,No,Low relevance (manual exclusion folder),https://info.microsoft.com/rs/157-GQE-382/images/EN-US-CNTNT-Whitepaper-Education-Class-of-2030-report.pdf
Anthropic,Level_2_Education,Hyper-Personalized AI Student Success Platform - Complete Development Report | Claude.pdf,Excluded_Documents_Low_Relevance/Level_2_Education/Anthropic/Hyper-Personalized AI Student Success Platform - Complete Development Report | Claude.pdf,Report,,missing,No,Low relevance (manual exclusion folder),https://claude.ai/public/artifacts/23edc8fc-caa8-48fc-9144-d0d7bbc20682
Anthropic,Level_2_Education,Anthropic_YouTube_Transcript_AI_Education.pdf,Excluded_Documents_Low_Relevance/Level_2_Education/Anthropic/Anthropic_YouTube_Transcript_AI_Education.pdf,Transcript,2025,finder_comment,No,Low relevance (manual exclusion folder),https://www.youtube.com/watch?v=Uh98_aGhAuY
Google,Level_1_General_AI,EN_US-AI-Principles.pdf,Excluded_Documents_Low_Relevance/Level_1_General_AI/Google/EN_US-AI-Principles.pdf,Document,2018,finder_comment,No,Low relevance (manual exclusion folder),https://ai.google/static/documents/EN_US-AI-Principles.pdf
Microsoft,Level_1_General_AI,Microsoft-Responsible-AI-Standard-General-Requirements.pdf,Excluded_Documents_Low_Relevance/Level_1_General_AI/Microsoft/Microsoft-Responsible-AI-Standard-General-Requirements.pdf,Document,,missing,No,Low relevance (manual exclusion folder),
Google,Level_3_Higher_Ed,Case Studies: University Of Lynchburg - Google for Education.pdf,Excluded_Documents_Low_Relevance/Level_3_Higher_Ed/Google/Case Studies: University Of Lynchburg - Google for Education.pdf,Document,,missing,No,Low relevance (manual exclusion folder),https://edu.google.com/intl/ALL_dk/resources/customer-stories/university-of-lynchburg/
Google,Level_3_Higher_Ed,Case Studies: Academies Enterprise Trust - Google for Education.pdf,Excluded_Documents_Low_Relevance/Level_3_Higher_Ed/Google/Case Studies: Academies Enterprise Trust - Google for Education.pdf,Document,,missing,No,Low relevance (manual exclusion folder),https://edu.google.com/intl/ALL_dk/resources/customer-stories/academies-enterprise-trust/
